,B cell,Conventional dendritic cell,Endothelial A,Endothelial B,Epithelial crypt,Epithelial other,Epithelial villi,Glial,Macrophage,Malignancy epithelial A,Malignancy epithelial B,Mast cell,Monocyte,Neutrophil,NK cell,Pericyte,Plasma,Plasmablast,Plasmacytoid dendritic cell,Smooth muscle,Stroma A,Stroma B.1,Stroma B.2,Stroma C,Stroma D,T cell CD4,T cell CD8,T cell regulatory
SEC13,0.0880427046263345,0.0578477564102564,0.0723914699162224,0.14945652173913,0.0921053903795021,0.0581120943952802,0.0781088884306042,0.12526210683974,0.117223421386234,0.327062789219237,0.387074260189838,0.0509148132605959,0.0307904411764706,0.0131415649978965,0.00924308588064046,0.0821522377298244,0.0764143446083544,0.0971383014434374,0.0187853107344633,0.0407682876992235,0.0193389592123769,0.0533452643171806,0.115914244485673,0.0674159449821702,0.0602283035984276,0.0166666666666667,0.0671489817792069,0.0422686057207937
SEC22B,0.0873309608540925,0.080411858974359,0.0634424980959634,0.0764492753623188,0.132617839013778,0.0610619469026549,0.0935759950505259,0.0688467299051423,0.105985541508206,0.166977631248244,0.169837281646327,0.0745824590851867,0.0751378676470588,0.0833981909970551,0.0237991266375546,0.0648478137714374,0.0881363929866388,0.0910960053709298,0.032909604519774,0.038316305680425,0.040436005625879,0.0596778634361233,0.0703566274994847,0.0824439633214468,0.0612866646507409,0.0166666666666667,0.0826902465166131,0.0745521047790092
SEC23A,0.00761565836298932,0.00592467948717949,0.0067022086824067,0.0185688405797101,0.00919506889050036,0.00108161258603736,0.0123221282738709,0.0206689965052421,0.0160482406550862,0.0773399961560638,0.0812594719629895,0.00542593369702056,0.00321691176470588,0.00230858224652924,0,0.0169001390534068,0.0117940694382357,0.0115391070829137,0,0.0140008173273396,0.00105485232067511,0.00378579295154185,0.0196454339311482,0.00653973509933775,0.0109389174478379,0,0.00873526259378349,0.00205659468220246
SEC23B,0.0609964412811388,0.0377516025641026,0.0257425742574257,0.0460144927536232,0.0436161469664008,0.0168141592920354,0.037894411218808,0.0661008487269096,0.0594237160379621,0.29038276733837,0.291556991305735,0.0322828367603861,0.0303308823529412,0.0148243584350021,0.00342066957787482,0.0301359633311016,0.0446257388367357,0.0548422289358845,0.0103107344632768,0.0153494074376788,0.00949367088607595,0.015625,0.0489177489177489,0.0294638308711156,0.0302918052615664,0.00277777777777778,0.0494640943193998,0.0314490341232643
SEC24A,0.0303914590747331,0.0267580128205128,0.0291698400609292,0.0502717391304348,0.03273869954073,0.0207472959685349,0.0350072179830893,0.0502912298219338,0.0495563093157913,0.176750099794497,0.175979101858499,0.0255686109945447,0.0188419117647059,0.0188209928481279,0.00487627365356623,0.0350800844620693,0.0639969204788159,0.0788435716683451,0.00183615819209039,0.018332652227217,0.0193389592123769,0.0186536343612335,0.0507730364873222,0.0335392256749873,0.0330133051103719,0.0166666666666667,0.0264201500535906,0.024002365412414
SEC24B,0.0239857651245552,0.0185849358974359,0.0282178217821782,0.0433876811594203,0.0195407299975828,0.0168141592920354,0.017168488348113,0.0289898485604926,0.0325624421831637,0.0873785833616701,0.0818178192550052,0.0139865715484683,0.00436580882352941,0.00861905763567522,0,0.0233892980378019,0.0229697511548204,0.035204766700235,0.00183615819209039,0.01334695545566,0.00246132208157525,0.00626376651982379,0.0239744382601525,0.0233507386653082,0.0194058058663441,0,0.0355305466237942,0.0186144815804459
SEC24C,0.0766548042704626,0.0459246794871795,0.0541127189642041,0.0855072463768116,0.0614551607445008,0.0492625368731563,0.0631573520313467,0.0494591446164087,0.061102545653887,0.157914812460267,0.154323203318178,0.0436970205623164,0.0225183823529412,0.0268142616743795,0.0150655021834061,0.0580496472163568,0.0910172353846918,0.0872356495468278,0.0442090395480226,0.0319820187985288,0.0249648382559775,0.028840859030837,0.0540713254998969,0.0460201222618441,0.0443528878137285,0.00972222222222222,0.0797427652733119,0.0588702965526304
SEC24D,0.0282562277580071,0.0276875,0.0230769230769231,0.0623188405797101,0.034140681653372,0.0246804326450344,0.015518663641988,0.0332750873689466,0.0623359714941584,0.0682919617380505,0.0745991864082316,0.0287578682333193,0.0179227941176471,0.00746213714766512,0.0150655021834061,0.0605217077818407,0.0526225599761585,0.0642413561597852,0,0.0193134450347364,0.00105485232067511,0.0211316079295154,0.0464440321583179,0.0644867549668874,0.0321061384941034,0,0.0285637727759914,0.0223816198694643
SEC31A,0.0631316725978648,0.0423028846153846,0.0659177456207159,0.114221014492754,0.0636789944404158,0.0423795476892822,0.0467622190142297,0.0656848061241471,0.0852228731969712,0.140321412203019,0.182639387413257,0.0401720520352497,0.0183823529411765,0.010512200252419,0.00487627365356623,0.0965725910284802,0.105918144340138,0.0981453507888553,0.00466101694915254,0.0471434409480997,0.0305907172995781,0.042056718061674,0.0701504844361987,0.079387417218543,0.0517614151799214,0.00277777777777778,0.0462486602357985,0.033989662271672
SEC61A1,0.0545907473309609,0.0444823717948718,0.0645849200304646,0.112590579710145,0.0633405849649504,0.0384464110127827,0.0508867807795422,0.0804959227824929,0.0885120087710282,0.301471044811425,0.354570471404642,0.0410113302559799,0.0278033088235294,0.0139829617164493,0.000509461426491994,0.0518694958026472,0.0929046838523817,0.122985901309164,0.0272598870056497,0.0293257049448304,0.0179324894514768,0.0329708149779736,0.0819006390434962,0.0639773306164035,0.0478303598427578,0,0.070096463022508,0.0352161724122826
