,Astrocyte A,Astrocyte B,Endothelial,Inhibitory neuron A,Inhibitory neuron B,Inhibitory neuron C,L2/3 neuron,L4 neuron,L6 neuron,Microglia A,Microglia B,Oligodendrocyte,Oligodendrocyte precursor cell
ITGB1,0.0975987450728019,0.101407871750077,0.282116540074821,0.144677716390424,0.183351588170865,0.106483253588517,0.0883659768842134,0.0921429383024656,0.13474832435274,0.107664463330186,0.0555988700564972,0.115176756438168,0.0948581868801114
ITGB2,0.0266470919475505,0.030089404994348,0.0228488833465593,0.0293922651933702,0.0332968236582694,0.0222727272727273,0.0354211364108243,0.03010453357573,0.0476146668418978,0.290226628895184,0.160344632768362,0.0146679577083609,0.0132503915086132
ITGB3,0.0206942321615316,0.0147775151577433,0.0242092733250198,0.0172375690607735,0.0179627601314348,0.0125438596491228,0.00420790366115302,0.016015225542552,0.0154159547903798,0.0503777148253069,0.0252033898305085,0.0110714844172871,0.015512441273708
ITGB3BP,0.0330021719893814,0.0295755831877505,0.0159902505384877,0.0411786372007367,0.03986856516977,0.0289712918660287,0.0415807322306042,0.0378309283036019,0.0498488631883296,0.025196726471514,0.0141299435028249,0.017205937188015,0.0231686097094136
ITGB4,0.743403587804682,0.397060939266262,0.0171239088538714,0.00213627992633517,0.00591456736035049,0.0189234449760766,0.00746072392553117,0.00578911487330985,0.0189643842817716,0.01292099464904,0.0143559322033898,0.0256979443569049,0.041091004002088
ITGB5,0.16444775158877,0.212804439420409,0.091491894343045,0.0879558011049724,0.265498357064622,0.101060606060606,0.0806145754031421,0.078394500624929,0.102155342357734,0.171561221277935,0.0597796610169491,0.0356333521777307,0.0544892987645728
ITGB6,0.017476470115035,0.0132360497379509,0.00947171522503117,0.0157642725598527,0.00700985761226725,0.012384370015949,0.0120977230258149,0.0119247812748551,0.0215928505716914,0.0050519357884797,0.00961016949152542,0.00844930656627013,0.00611623455716026
ITGB7,0.0109605019708792,0.0171410954680917,0.00454030155311189,0.0102394106813996,0.0146768893756846,0.00903508771929824,0.00586891826423974,0.00794796045903875,0.01213037192798,0.0406200818382122,0.0161638418079096,0.00834105151737493,0.0125543761962763
ITGB8,0.566426675247365,0.407131846675573,0.0689887767826777,0.103425414364641,0.0924424972617744,0.142368421052632,0.282981521212541,0.149863651857743,0.556748587199369,0.0720963172804533,0.064864406779661,0.261309044107918,0.352035844788585
ITK,0,0,0,0,0,0,0,0,0,0,0,0,0
ITLN1,0.0100756174080927,0.0142636933511458,0.00624078902618751,0.0146593001841621,0.0168674698795181,0.0104704944178628,0.0109903799570905,0.00897057152596296,0.0196215008542516,0.0176424299653761,0.0150338983050847,0.00717430265706003,0.00385418479206543
ITM2A,0.00709918751508325,0.00306237796732093,0.435500510146242,0.00287292817679558,0.0157721796276013,0.0232296650717703,0.0257318845594851,0.0419213725712987,0.0896701274806151,0.0220491029272899,0.0144689265536723,0.0993594909607034,0.0684096050113102
ITM2B,2.16541308020272,2.3366354948104,0.894915542455504,2.217605893186,2.16801752464403,1.78080542264753,2.66695273029275,2.74252357686627,2.97993165987646,2.06517154548316,0.83706779661017,0.776025716588282,0.914590220984862
ITM2C,2.56047381546135,1.88817182201213,0.2898820995352,0.940626151012891,2.29945235487404,0.771874003189793,1.86336770710776,0.992381547551415,1.93051649362597,0.341218130311615,0.143734463276836,0.167776681862468,0.682121106664347
ITPK1,0.290664467862602,0.480094543212414,0.109743793220723,0.339521178637201,0.415553121577218,0.309035087719298,0.729794449442868,1.20315305078968,1.11345774740439,0.183836953100409,0.109497175141243,0.30634314444832,0.275126152775361
ITPR1,0.0643753519427238,0.154331517829617,0.0815723840834373,0.664014732965009,0.255640744797371,0.396116427432217,1.19494774724894,0.819673900693103,1.05352871599422,0.120569719861505,0.0647514124293785,0.0399274691172402,0.0972942404732904
ITPR2,0.0986445177379133,0.282684205117665,0.0195045913161773,0.0319705340699816,0.0146768893756846,0.0335964912280702,0.12580801439546,0.0182876945801613,0.140399526876068,0.211850802644004,0.0706271186440678,0.00777571959536668,0.101122324691143
ITPR3,0.0169938058080605,0.0211489055595519,0.0653043872576805,0.0102394106813996,0.0453450164293538,0.0158931419457735,0.0154197522319884,0.0152198613793887,0.0264555132080431,0.0116619452313503,0.0113050847457627,0.00897855347197998,0.00785627283800244
ITSN2,0.00476631003137318,0.00994759017572706,0.00210293617503684,0.0113443830570902,0.0311062431544359,0.0120653907496013,0.0268392276282096,0.0215827746846949,0.027901169667499,0.0050519357884797,0.00271751412429379,0.00199008864885671,0.00246215416739168
IZUMO1,0.008788512589494,0.0151885726030213,0.0132694705815667,0.00397790055248619,0,0.0109489633173844,0.0168731400096893,0.0162424724463129,0.0223813904586674,0.0201605288007554,0.0133389830508475,0.0135733788806428,0.0207325561162346
JADE1,0.0120867186871531,0.0356386805056007,0.0217152250311756,0.0916390423572744,0.071631982475356,0.0508213716108453,0.0694027268323067,0.0735086921940689,0.0507688263898015,0.00694050991501417,0.00441242937853107,0.00772760624030215,0.0202105446319819
JADE2,0.0401616925428364,0.0679066899599219,0.0576521936288403,0.404346224677716,0.258926615553122,0.22195374800638,0.327136826077929,0.301210089762527,0.346077014062295,0.102313503305005,0.0580847457627119,0.0691443039801773,0.0788498346963633
JADE3,0.017476470115035,0.0179632103586476,0.019107810905793,0.0507550644567219,0.076013143483023,0.0339154704944179,0.04178835905599,0.0436257243495057,0.0540544092522013,0.0135505193578848,0.00712429378531074,0.0291139925664866,0.0374369236123195
JAG2,0,0.00316514232864042,0.0431980501076975,0.0503867403314917,0.0946330777656079,0.052097288676236,0.0782614713821026,0.0752130439722759,0.0671967407018005,0.014494806421152,0.00802824858757062,0,0.00037410823038107
JAK1,0.150611374788834,0.235926420717295,0.18388504704682,0.375985267034991,0.392552026286966,0.238221690590112,0.360149491314278,0.317230996477673,0.290222105401498,0.128438778722065,0.0610225988700565,0.0551673743339307,0.108778493126849
JAK2,0,0.0102558832596855,0.0049370819634962,0.0467034990791897,0.109967141292442,0.0436443381180223,0.0754239047684961,0.0490796500397682,0.0662767775003286,0.0286591123701605,0.00780225988700565,0,0.00489820776057073
JAK3,0.0251186549754646,0.0265954167094851,0.0203548350527151,0.0334438305709024,0.0727272727272727,0.0446012759170654,0.0744549795833622,0.0829394387001477,0.0696937836772243,0.0865753855838842,0.0463333333333333,0.0148724394673852,0.022646598225161
JAM2,0.206841766551364,0.170259993834138,0.126408570456864,0.0529650092081031,0.353121577217963,0.0595933014354067,0.112935151221538,0.0619191001022611,0.0962412932054146,0.0777620396600567,0.0401186440677966,0.0297274378435594,0.0823299112580477
JAM3,0.0679953342450326,0.0280341177679581,0.0310679061330915,0.0529650092081031,0.0365826944140197,0.0884609250398724,0.122416776247491,0.107936598113851,0.250400841109213,0.00882908404154863,0.013,0.291512202749678,0.0825039150861319
JAML,0.00862762448716917,0.0130305210153119,0.0175206892642558,0.0201841620626151,0.0278203723986856,0.0130223285486443,0.0151429164648072,0.0193103056470856,0.0167301879353397,0.0195310040919106,0.0275762711864407,0.00733067106101976,0.00924830346267618
JARID2,0.0716957605985037,0.126379611550714,0.0319748327853985,0.194033149171271,0.0979189485213582,0.10329346092504,0.165257111218769,0.149636404953983,0.135142594296228,0.0261410135347812,0.0221525423728814,0.0368241577155779,0.0480511571254568
JCHAIN,0,0,0,0,0,0.00106060606060606,0.00967541006298014,0.00306215202817862,0.00555920620318045,0.00127478753541076,0,0,0
JMJD1C,0.0539980693427721,0.08455451649368,0.0598061444280694,0.167882136279926,0.16144578313253,0.103931419457735,0.270177866980414,0.211106692421316,0.231344460507294,0.0742996537614101,0.0340169491525424,0.0424654485968943,0.081807899773795
JMJD6,0.0745917464403507,0.093700544651115,0.0625836073007596,0.19219152854512,0.180065717415115,0.129290271132376,0.189341822963527,0.17576979888649,0.207162570640032,0.081853950267548,0.0478022598870056,0.0656560857379987,0.0645815207934575
JUN,0.176675247365457,0.189271400678245,0.10861013490534,0.271381215469613,0.0979189485213582,0.145239234449761,0.572966987334764,0.249284172253153,0.419542646865554,0.10955303745672,0.0641864406779661,0.0560454430638585,0.158891595615104
JUNB,0.0587442683613547,0.0381050251772685,0.0450685863280807,0.0588581952117864,0.0595837897042716,0.0366267942583732,0.099370198629663,0.0841892966708329,0.0825732684978315,0.0554139124960655,0.0403446327683616,0.0153896580343289,0.0228206020532452
JUND,0.476892446303596,0.629719453293598,0.448650946604693,1.20029465930018,0.866812705366922,0.97219298245614,1.67719565367846,1.68446199295535,2.23016165067683,0.436905886056028,0.203847457627119,0.610612001876421,0.492282930224465
JUP,0.039679028235862,0.0696536841023533,0.0294241015757851,0.0190791896869245,0.0376779846659365,0.0414114832535885,0.0123053498512008,0.0295364163163277,0.0528715994217374,0.0280295876613157,0.0226045197740113,0.0698780326449114,0.044223072907604
KALRN,0.0124084948918027,0.06626246017881,0.0307278086384764,0.232707182320442,0.388170865279299,0.267408293460925,1.21183472904699,1.07350869219407,1.1819292942568,0.0330657853320743,0.0010225988700565,0.00497311666285769,0.0586653906385941
KANK1,0.18576542514681,0.219381358544857,0.0443883913388505,0.0249723756906077,0.0332968236582694,0.0414114832535885,0.0235171984220361,0.0239688671741848,0.0422263109475621,0.0157538558388417,0.0126610169491525,0.0613018271046586,0.193518357403863
