,B cell,Conventional dendritic cell,Endothelial A,Endothelial B,Epithelial,Fibroblast,Lung cell,Macrophage,Malignancy,Monocyte,Myeloid,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
ABRAXAS1,0.0142290578448443,0.0308243727598566,0.0261096605744125,0.018628420705572,0.0158014988119174,0.0326036083641579,0.0176706981016534,0.0216963877457705,0.0321942101226994,0,0.0143250797149943,0.00661490683229814,0.0273706147968044,0.0142919772029812,0.00222996515679443,0.00471698113207547,0.036684911946692,0.0209134096307493,0.00594951923076923
ABRAXAS2,0.019452505320178,0.0326164874551971,0.00783289817232376,0.0268710847345862,0.0254889416925608,0.0218087114063562,0.0195843539497857,0.0312985825331504,0.0396712039877301,0.013448275862069,0.0228673778687557,0.0103416149068323,0.0209447724904481,0.0132272812676145,0.0161672473867596,0.0172955974842767,0.0162184673964779,0.0228568343770244,0.02578125
ACAA1,0.0997388276262333,0.161648745519713,0.0626631853785901,0.077893175074184,0.0680771339791629,0.0819732769683702,0.16012323943662,0.110402377686328,0.236852952453988,0.103103448275862,0.132027713262213,0.0631366459627329,0.0872872525182355,0.0659610446546001,0.0614634146341463,0.0581761006289308,0.0873750594954783,0.0846145540919888,0.0888822115384615
ACACA,0.0287386341652157,0.0370967741935484,0.0600522193211488,0.0396472139795582,0.0437671358069823,0.0369064693892957,0.099422075933864,0.0312985825331504,0.279030866564417,0.013448275862069,0.0281423453922765,0.018416149068323,0.0308440430705106,0.0199912319158264,0.0175609756097561,0.0188679245283019,0.0314493098524512,0.0226408982941049,0.0209735576923077
ACACB,0.0161636680208938,0.00842293906810036,0.0731070496083551,0.0614902736564458,0.0584810820690916,0.0378878236581868,0.0162163196570729,0.013923182441701,0.0191574003067485,0.0203448275862069,0.0221588001417155,0.0196583850931677,0.0172976728030566,0.0159203356923655,0.0140766550522648,0.00786163522012578,0.0238338886244645,0.0155150075577629,0.0167668269230769
ACAD9,0.0424743664151673,0.0514336917562724,0.0443864229765013,0.0377514012528849,0.0323432644854688,0.0436249716917038,0.0348170545009186,0.0290123456790123,0.0968031058282209,0.013448275862069,0.0445183639727591,0.00102484472049689,0.0358805140673845,0.0246884198659736,0.0259233449477352,0.0141509433962264,0.0428724416944312,0.039699848844742,0.0305889423076923
ACADM,0.0368639969046237,0.0442652329749104,0.0469973890339426,0.0463237718430597,0.0440413087186986,0.0322261644145844,0.0453038885486834,0.0280978509373571,0.0702501917177914,0.0272413793103448,0.037668779278038,0.00972049689440994,0.0377908996179229,0.0358364126009895,0.0433449477351916,0.0330188679245283,0.0302594002855783,0.0349492550205139,0.0239783653846154
ACADS,0.0022344747533372,0.0191756272401434,0.0234986945169713,0.00972634355423673,0.00830743922500457,0.00489922246546388,0.0111642682180037,0.00614997713763146,0.0120638420245399,0,0.00491674211707279,0,0.00896144494616186,0.000388300870545501,0.00780487804878049,0.00628930817610063,0.00693717277486911,0.0042863312459512,0.0113581730769231
ACADVL,0.160098665118979,0.174193548387097,0.164490861618799,0.138147049126278,0.151060135258636,0.179127349588586,0.238123851806491,0.168472793781436,0.570441909509202,0.172068965517241,0.165567059008778,0.0482298136645963,0.146682875998611,0.22904741028371,0.303275261324042,0.0707547169811321,0.155675868633984,0.159976247030879,0.138161057692308
ACAP2,0.0598858579996131,0.0720430107526882,0.0496083550913838,0.0600890207715134,0.0324346554560409,0.0455876802294859,0.0358887017758726,0.0706218564243256,0.0757141487730061,0.0203448275862069,0.0775065937094044,0.0221428571428571,0.0640152830844043,0.0438529467025741,0.0342857142857143,0.0267295597484277,0.0671465968586387,0.0574066076441373,0.0540264423076923
ACAP3,0.019259044302573,0.0254480286738351,0.0417754569190601,0.0246455654467524,0.034171083896911,0.0414357967841776,0.0258611451316595,0.0303840877914952,0.168122124233129,0.013448275862069,0.0236940518836358,0.018416149068323,0.0261549149010073,0.0236237239306069,0.0245296167247387,0.0110062893081761,0.0209781056639695,0.022209026128266,0.0149639423076923
ACAT1,0.0351228477461791,0.0344086021505376,0.0469973890339426,0.0483844378503132,0.0405684518369585,0.0378878236581868,0.0639811696264544,0.041358024691358,0.100062308282209,0.0410344827586207,0.0326300043301972,0.0128260869565217,0.0315387287252518,0.0346464583202856,0.0314982578397213,0.0125786163522013,0.0326392194193241,0.0355970632692723,0.0233774038461538
ACBD5,0.0614335461404527,0.0666666666666667,0.0417754569190601,0.0516815034619189,0.041847925424968,0.0488336981958179,0.0631391610532762,0.0541609510745313,0.124602185582822,0.0203448275862069,0.0899067039326064,0.0240062111801242,0.0622785689475512,0.0558151186822822,0.0802787456445993,0.0440251572327044,0.0704783436458829,0.0740336860289354,0.0516225961538462
ACBD6,0.0651093054749468,0.0532258064516129,0.0391644908616188,0.0519287833827893,0.0474227746298666,0.0706499584811655,0.0635984384568279,0.0623914037494284,0.21605157208589,0.0272413793103448,0.0593197653820415,0.0215217391304348,0.0523792983674887,0.0454813051919584,0.0398606271777004,0.0330188679245283,0.0597691575440266,0.0550313107320233,0.0450120192307692
ACD,0.0227413426194622,0.0245519713261649,0.0391644908616188,0.0310748433893834,0.0284134527508682,0.0231675096248207,0.0261673300673607,0.00843621399176955,0.0390960506134969,0,0.0203479903948353,0.0295962732919255,0.0398749565821466,0.0181749859084362,0.0112891986062718,0.0188679245283019,0.0402546406473108,0.0416432735910171,0.0281850961538462
ACE,0.0500193461017605,0.0326164874551971,0.193211488250653,0.385097263435542,0.0542770974227746,0.028829168868423,0.0440791488058787,0.0875400091449474,0.0208828604294478,0.00655172413793103,0.17670747549502,0.0264906832298137,0.0421326849600556,0.0185507609444479,0.0112891986062718,0.029874213836478,0.0304973821989529,0.0196177931332326,0.00955528846153846
ACE2,0,0.0021505376344086,0,0.000247279920870425,0.000539206726375432,0.0009738053898996,0.0068011328842621,0,0.0444641487730061,0,0,0.00226708074534161,0.00357763112191733,0,0,0,0.00360542598762494,0,0
ACER2,0.00997291545753531,0.0102150537634409,0.0443864229765013,0.0292614573030003,0.0133339426064705,0.00874915075111346,0.00572948560930802,0.00294924554183813,0.00612059049079754,0,0,0.00661490683229814,0.0028829454671761,0.0169850316277322,0.0217421602787456,0.0125786163522013,0.00955497382198953,0.00407039516303174,0.0107572115384615
ACER3,0.0144225188624492,0.0415770609318996,0.0052219321148825,0.0153313550939664,0.0116889051361725,0.0132784781459953,0.0104753521126761,0.0248971193415638,0.0387126150306748,0.013448275862069,0.0290477502657166,0.00599378881987578,0.00600903091351164,0.00740276820943195,0.00571428571428571,0.00314465408805031,0.0116968110423608,0.0081731807385014,0.00955528846153846
ACHE,0.00900561036951054,0.0317204301075269,0.031331592689295,0.0182162875041213,0.0220160848108207,0.0167509624820714,0.0245598591549296,0.00797896662094193,0.0309480444785276,0,0.0132228476951541,0.00661490683229814,0.0157346300798888,0.0118494394689046,0.00780487804878049,0.0157232704402516,0.0147905759162304,0.0159468797236018,0.01796875
ACIN1,0.208076997485007,0.193010752688172,0.169712793733681,0.161144081767227,0.150877353317492,0.217098210915679,0.226641916717697,0.194078646547782,0.830794670245399,0.013448275862069,0.203751525410385,0.0618944099378882,0.198263285863147,0.134101584518069,0.115121951219512,0.0849056603773585,0.211363636363636,0.216983372921615,0.198257211538462
ACKR3,0.00320177984136196,0.0111111111111111,0.224543080939948,0.022090339597758,0.0173551453116432,0.0222616441458443,0.0137668401714636,0.0148376771833562,0.0225124616564417,0,0.0121599811045939,0.011583850931677,0.0103508162556443,0.00903112669881631,0.0105923344947735,0.00314465408805031,0.0202641599238458,0.00450226732887065,0.00775240384615384
ACKR4,0,0,0.0052219321148825,0.00535773161885921,0.00236702613781758,0,0.00289727495407226,0,0.0032448236196319,0,0,0,0,0.00182877184192397,0.00641114982578397,0.00314465408805031,0.000511661113755352,0.00363852299719283,0.000540865384615383
ACLY,0.0471174308376862,0.0496415770609319,0.0757180156657963,0.0526706231454006,0.0308810089563151,0.0504944515739413,0.0359652480097979,0.0372427983539095,0.169368289877301,0.013448275862069,0.0409361099082785,0.0140683229813665,0.0534213268496006,0.0285087993987599,0.0252264808362369,0.0251572327044025,0.0557234650166587,0.0636687540488016,0.0510216346153846
ACO2,0.0515670342426001,0.0666666666666667,0.0574412532637076,0.0442631058358061,0.0482452933650155,0.0390956442968219,0.0613785976729945,0.0409007773205304,0.139652032208589,0.0341379310344828,0.0721528953273236,0.0165527950310559,0.0426536992011115,0.0358990417736582,0.0419512195121951,0.020440251572327,0.0371608757734412,0.0381882962643058,0.0432091346153846
ACOT11,0.0171309731089186,0.0200716845878136,0.0130548302872063,0.00799538410814375,0.025671723633705,0.0150902091039481,0.0188188916105328,0.0290123456790123,0.0138851610429448,0,0.0406211864740385,0.0109627329192547,0.0112191733240709,0.00721488069142607,0.00362369337979094,0.0157232704402516,0.00836506425511661,0.00277477866551501,0.00594951923076923
ACOT12,0,0,0,0,0,0,0,0.000663008687700046,0,0,0,0.00164596273291925,0,0,0,0,0,0,0.00294471153846153
ACOT13,0.0515670342426001,0.0586021505376344,0.0365535248041775,0.045911638641609,0.0434929628952659,0.0381897788178455,0.0645935394978567,0.0628486511202561,0.153263995398773,0.0272413793103448,0.0715230484588434,0.0283540372670807,0.037269885376867,0.052307885012839,0.0517073170731707,0.0361635220125786,0.0319252736792004,0.0340855106888361,0.0347956730769231
ACOT7,0.0610466241052428,0.0747311827956989,0.0913838120104439,0.0590174744477415,0.0581155181868031,0.0775949271533177,0.0691097672994489,0.0898262459990855,0.142815375766871,0.0272413793103448,0.0945124591583671,0.0171739130434783,0.0636679402570337,0.0502411223147742,0.0328919860627178,0.0361635220125786,0.0540575916230366,0.0684193478730296,0.0624399038461538
ACOT8,0.0202263493905978,0.0191756272401434,0.0182767624020888,0.0136003956478734,0.0179034911350759,0.0202234468181475,0.0182830679730557,0.0116369455875629,0.0741804064417178,0,0.0135377711293942,0.0109627329192547,0.0232025008683571,0.0164839982463832,0.00989547038327526,0.00628930817610063,0.026451689671585,0.0243683869574606,0.0239783653846154
ACOT9,0.0374443799574386,0.0729390681003584,0.0365535248041775,0.041295746785361,0.0388320233960885,0.0438514380614479,0.0427013165952235,0.0441015089163237,0.187198044478528,0.0479310344827586,0.0540841632878007,0.0159316770186335,0.0310177144841959,0.0243752740026304,0.0126829268292683,0.0330188679245283,0.0419205140409329,0.0314942776938026,0.0510216346153846
ACOX1,0.0155832849680789,0.0236559139784946,0.0234986945169713,0.0239037256841411,0.0224730396636812,0.0286781912885936,0.0273920698101653,0.0130086877000457,0.0786857745398773,0.0203448275862069,0.0283391725386765,0.0109627329192547,0.0148662730114623,0.0340827957662679,0.0426480836236934,0.0125786163522013,0.0169324131366016,0.0215612178795077,0.00294471153846153
ACOX2,0.00745792222867092,0.00842293906810036,0.0156657963446475,0.00956149027365644,0.0230213854871139,0.0192420925492564,0.0254784139620331,0.00614997713763146,0.0384250383435583,0,0.00538912726843286,0.00785714285714286,0.0131295588746092,0.00840483497213002,0.0043205574912892,0,0.0126487386958591,0.00320665083135392,0.0143629807692308
ACOX3,0.0225478816018572,0.0281362007168459,0.031331592689295,0.02909660402242,0.023112776457686,0.036076092700234,0.0218807409675444,0.0148376771833562,0.0680454371165644,0,0.0152304845884344,0.00537267080745341,0.0159083014935742,0.020053861088495,0.0161672473867596,0.0157232704402516,0.0259757258448358,0.0252321312891384,0.0293870192307692
ACP3,0.0091990713871155,0.0263440860215054,0,0.00420375865479723,0.0103180405775909,0.00648448705367253,0.0280044396815677,0.0166666666666667,0.0116804064417178,0.0410344827586207,0.0130653859780341,0.0165527950310559,0.00531434525877041,0.00946953090749671,0.0105923344947735,0.00471698113207547,0.00646120894811994,0.00147916216799827,0.000540865384615383
ACP5,0.185442058425227,0.0711469534050179,0.0130548302872063,0.0364325750082427,0.0516267592761835,0.0708009360609949,0.140603949785671,0.275011431184271,0.0667034125766871,0.0341379310344828,0.608861158130929,0.0308385093167702,0.0930184091698506,0.0566292979269744,0.0273170731707317,0.0534591194968553,0.0923726796763446,0.109663139710646,0.122536057692308
ACSBG1,0.000299864577287676,0.00663082437275985,0,0.0045334652159578,0.00163589837324072,0.00331395787725523,0.00618876301285977,0,0.00985908742331288,0.013448275862069,0.00227925835531237,0.00847826086956522,0.00635637374088225,0.000638817561220015,0,0.0157232704402516,0.00693717277486911,0.00471820341179011,0
ACSF3,0.0639485393693171,0.0514336917562724,0.0496083550913838,0.045911638641609,0.0415737525132517,0.0473994111874387,0.0544894366197183,0.0518747142203932,0.115208013803681,0.00655172413793103,0.056209896468921,0.018416149068323,0.0711358110455019,0.0460449677459761,0.0510104529616725,0.0377358490566038,0.0626249405045217,0.0792161520190024,0.0522235576923077
ACSL1,0.0664635325981815,0.0944444444444444,0.0182767624020888,0.0222551928783383,0.0366386401023579,0.0597040839435344,0.179642529087569,0.159327846364883,0.241358320552147,0.213448275862069,0.348262016297288,0.245124223602484,0.039527613754776,0.0189265359804597,0.00362369337979094,0.0550314465408805,0.0274036173250833,0.0349492550205139,0.0359975961538462
ACSL3,0.0349293867285742,0.0559139784946237,0.0443864229765013,0.0663534454335641,0.0669804423322976,0.0428700837925568,0.0387209124311084,0.072450845907636,0.211354486196319,0,0.0801440774711648,0.027111801242236,0.0271969433831191,0.0270683284273815,0.0252264808362369,0.0235849056603774,0.0290694907187054,0.0219930900453466,0.0299879807692308
ACSL4,0.080586186883343,0.0818996415770609,0.0417754569190601,0.0655291790306627,0.0557393529519283,0.0671774741450895,0.171911359461114,0.119090077732053,0.152305406441718,0.0824137931034483,0.200641656497264,0.0618944099378882,0.0744355679055227,0.0513684474228095,0.0705226480836237,0.0188679245283019,0.0683365064255117,0.0854782984236666,0.0990985576923077
ACSL5,0.031447088411685,0.0496415770609319,0.031331592689295,0.0402242004615892,0.00803326631328824,0.0116932135577867,0.051504133496632,0.0235253772290809,0.0843414493865031,0.00655172413793103,0.0344408140770775,0.000403726708074533,0.0364015283084404,0.0115989227782301,0.0140766550522648,0.00943396226415094,0.0352570204664445,0.0535197581515871,0.0486177884615385
ACSM2A,0,0,0.0287206266318538,0,0,0,0,0,0,0,0,0,0,0,0,0.00314465408805031,0,0,0
ACSM3,0.0136486747920294,0.0111111111111111,0.031331592689295,0.0169798878997692,0.0208280021933833,0.0142598324148864,0.0618378750765462,0.0184956561499771,0.0536666027607362,0,0.0255048616305161,0.0122049689440994,0.0212921153178187,0.0211811861965303,0.030801393728223,0.00628930817610063,0.0188362684435983,0.0152990714748434,0.01796875
ACSS1,0.0413136003095376,0.0173835125448029,0.031331592689295,0.0307451368282229,0.0349022116614878,0.0159205857930097,0.0662775566442131,0.0166666666666667,0.0959403757668711,0.0203448275862069,0.0271975750895564,0,0.035012156998958,0.0536857268115488,0.0628571428571429,0.0267295597484277,0.0300214183722037,0.0209134096307493,0.0341947115384615
ACSS2,0.015196362932869,0.0370967741935484,0.0496083550913838,0.0315694032311243,0.0373697678669347,0.0224126217256737,0.077300214329455,0.0308413351623228,0.13255847392638,0.00655172413793103,0.0295201354170767,0.0146894409937888,0.0122612018061827,0.0114110352602242,0.0105923344947735,0.0125786163522013,0.00312946216087577,0.00471820341179011,0.0155649038461538
ACSS3,0.0248694138131167,0.0254480286738351,0.0365535248041775,0.0210187932739862,0.0908334856516176,0.0990337434890919,0.0866388548683405,0.0308413351623228,0.0234710506134969,0.0341379310344828,0.0244419950399559,0.0128260869565217,0.0289336575199722,0.0356485250829837,0.0112891986062718,0.0235849056603774,0.0197881960970966,0.0131397106456489,0.0203725961538462
