,B cell,Conventional dendritic cell,Endothelial,Fibroblast,Macrophage,Malignancy,Monocyte,Neutrophil,NK cell,Pericyte,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
RAMP2,0.0260906515580737,0.0246709129511677,1.09738837405223,0.0191804300405111,0.0198573007737916,0.206766379217805,0.0342580063148399,0.0462789243277048,0.075969998557623,0.138996188055909,0.0381664853101197,0.0217791411042945,0.0153065725628584,0.0175992077527057,0.013296568627451,0.0139912173700903
RAMP3,0.0263739376770538,0.0480254777070064,2.02886829542263,0.0380855926041342,0.0315144206612401,0.0294664901420546,0.0446323861073523,0.0419011882426517,0.138136448867734,0.178132147395172,0.041974972796518,0.0412065439672802,0.0325099250110278,0.0335148900049515,0.0255514705882353,0.0310685533056843
RANGAP1,0.0838810198300283,0.0892144373673036,0.135018253299635,0.0942817076971019,0.138036378253442,0.568450996529144,0.105074424898512,0.120700437773609,0.0826049329294678,0.071143583227446,0.072442872687704,0.0722222222222222,0.0911777679752978,0.0729150456249558,0.0761029411764706,0.0981580873383752
RAP1A,0.276515580736544,0.260764331210191,0.443920247121595,0.253417471694193,0.441925434629685,0.459709450030415,0.348646820027064,0.156347717323327,0.273431414971874,0.243189326556544,0.204651795429815,0.164587593728698,0.240273489192766,0.260932305298154,0.238939950980392,0.297962917784826
RAP1B,0.0957790368271955,0.132526539278132,0.247065431058691,0.128456424639036,0.179037282685157,0.301230901348982,0.141159224176816,0.0850531582238899,0.120972162123179,0.136454891994917,0.0893090315560392,0.0711997273346967,0.11808557565064,0.104958619226144,0.109344362745098,0.0881556477189558
RAP1GAP,0.0107932011331445,0.00938428874734607,0.0156697556866049,0.0124285862677885,0.00186915887850467,0.0125058145775933,0.00133062697338746,0.0143839899937461,0.00889946632049618,0.0086277001270648,8.16104461371023e-05,0.00746421267893661,0.00692545213939126,0.00833274386362029,0.00900735294117647,0.00691632105391559
RAP1GDS1,0.0722662889518414,0.079447983014862,0.163661892726762,0.0801547730341747,0.103065018591096,0.194135327584356,0.0919936851601263,0.0550343964978111,0.093711236117121,0.0647903430749682,0.0670021762785637,0.0630197682344922,0.0823555359505955,0.0802716276437717,0.0808517156862745,0.104013173944865
RAP2B,0.275665722379603,0.335923566878981,0.206908171861837,0.208959177313805,0.669339764847754,0.141893584284539,0.325191700496166,0.106941838649156,0.220351939997115,0.122731893265565,0.140451577801959,0.108009543285617,0.335994706660785,0.210921694843319,0.182720588235294,0.174762137106611
RAP2C,0.0787818696883853,0.0785987261146497,0.115360853692783,0.0770385374467643,0.113918199175962,0.184545747307403,0.101014884979702,0.0612883051907442,0.0914034328573489,0.068856416772554,0.0757072905331883,0.0749488752556237,0.0704455227172475,0.0787861639668954,0.077328431372549,0.0747377409124177
RAPGEF1,0.112492917847026,0.121486199575372,0.188654872226903,0.0662355874104082,0.175520048236358,0.122249257523169,0.134393324312134,0.0469043151969981,0.0814510312995817,0.0475095298602287,0.0735310119695321,0.0807430129516019,0.068681076312307,0.0923675461554785,0.0724264705882353,0.0901073432544523
RAPGEF2,0.0277903682719547,0.0382590233545648,0.158887952822241,0.0342422353796614,0.0558335845643654,0.0584141410527069,0.0554578258908435,0.0331457160725453,0.0289485071397663,0.0988437102922491,0.0196681175190424,0.0238241308793456,0.025452139391266,0.0260168352550046,0.0220281862745098,0.0286289338863137
RAPGEF3,0.0303399433427762,0.0293418259023355,0.287784330244313,0.0210501713929573,0.0320168827253542,0.045604179339464,0.0207262065854759,0.0318949343339587,0.0347180152891966,0.0350571791613723,0.027829162132753,0.0296182685753238,0.02148213498015,0.021065289665417,0.0223345588235294,0.0247255428153208
RAPGEF4,0.0547025495750708,0.0170276008492569,0.365290648694187,0.0283213877635816,0.0164405587378153,0.0729058575160124,0.0162156066756879,0.0350218886804253,0.0194288186932064,0.0492884371029225,0.189961915125136,0.17788002726653,0.0329510366122629,0.0156185895168706,0.0140625,0.0125274457184679
RAPGEF5,0,0,0.177983712440326,0,0,0.0395212366264715,0,0.00500312695434647,0,0.0208259212198221,0,0,0,0,0,0
RARA,0.0263739376770538,0.0310403397027601,0.115080033698399,0.0527318998649631,0.0434730177871571,0.0955558736179196,0.0581641858367163,0.0562851782363978,0.0459685561805856,0.0586912325285896,0.0245647442872688,0.0279141104294479,0.0280988089986767,0.0395274810780222,0.0257046568627451,0.0427787265186631
RARB,0.0292067988668555,0.0110828025477707,0.0580735748385285,0.0657162148125065,0.0103105215556226,0.0344401903603249,0.00899864682002706,0.0356472795497186,0.0269291792874657,0.0724142312579416,0.0811479869423286,0.0623381049761418,0.0276576973974416,0.0122939803352904,0.0116115196078431,0.0227738472798244
RARG,0.0513031161473088,0.0357112526539278,0.228812131423757,0.0926197153838164,0.0543261983720229,0.0616703045049558,0.0527514659449707,0.111944965603502,0.0727967690754363,0.12146124523507,0.0441512513601741,0.0439331970006817,0.0541243934715483,0.0828888731696965,0.0512867647058824,0.0813247133447182
RARRES1,0.0722662889518414,0.0603397027600849,0.0521763549564729,0.413280357328347,0.14044819616119,0.0552295416323756,0.0559088858818223,0.208880550343965,0.0950093754507428,0.0447141041931385,0.120865070729053,0.0766530334014997,0.101323334803705,0.0463181721723138,0.0560355392156863,0.0661990729446206
RASA1,0.0481869688385269,0.0437791932059448,0.113956753720865,0.0612496104705516,0.0635715003517234,0.132697606183132,0.0644790257104195,0.034396497811132,0.0663060724073273,0.0543710292249047,0.0289173014145811,0.028254942058623,0.0444199382443758,0.0569286270071444,0.0662990196078431,0.0618077579897536
RASA2,0.0722662889518414,0.0412314225053079,0.0656557146868857,0.0580295003635608,0.0451813888051452,0.0630300211113894,0.0486919260261615,0.0381488430268918,0.106692629453339,0.0472554002541296,0.0463275299238303,0.0531356509884117,0.0545655050727834,0.100502228195515,0.103523284313725,0.0957184679190046
