,Ascending vasa recta endothelium,B cell,Connecting tubule,Dendritic cell,Descending vasa recta endothelium,Distinct proximal tubule A,Distinct proximal tubule B,Epithelial progenitor,Fibroblast,Glomerular endothelium,Macrophage,Mast cell,Mesangial cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,Myofibroblast,Neutrophil,NK cell,NKT cell,Pelvic epithelium,Peritubular capillary endothelium A,Peritubular capillary endothelium B,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating proximal tubule,Proximal tubule,Smooth muscle,T cell CD4,T cell CD8,Thick ascending limb of Loop of Henle,Transitional urothelium,Type A intercalated cell,Type B intercalated cell
RXRB,0.201573779959573,0.115940614946469,0.335574608904934,0.110447005684916,0.166342082980525,0.375730697752999,0.234541062801932,0.285072574484339,0.235691489361702,0.169159567496723,0.106634533597959,0.13125,0.152213145896657,0.167284093540171,0.213606537080599,0.154055796506857,0.0899055489964581,0.161677419354839,0.142128139085641,0,0.152978624535316,0.243712289615751,0.261231884057971,0.154336109750122,0.349016809387885,0,0.059390562886994,0.133046296296296,0.125401097465378,0.11458765560166,0.120894416076429,0.475,0.268243409706824,0.253224624404544
RYK,0.124761767253826,0.065890512103792,0.238101684717208,0.0440191573864964,0.113844199830652,0.251385369150194,0.164492753623188,0.182042271454036,0.127712765957447,0.100516055045872,0.0462837701000446,0.053125,0.113079407294833,0.0718916415836999,0.0949981428748298,0.0977904114406283,0.0355962219598583,0.0796129032258064,0.0638924661944623,0,0.0868076208178439,0.151937122896158,0.0902173913043478,0.0796178343949045,0.275277513479226,0,0.0359381696197668,0.099712962962963,0.064570159393781,0.0474196058091286,0.081197496293856,0,0.185957132298596,0.149523635031147
S100A10,0.785027432861681,0.100013184958599,0.442975330926594,0.195409236040807,0.319602032176122,1.14908768373036,0.529227053140097,0.601038961038961,0.166897163120567,0.316767693315858,0.118259143748228,0.1546875,0.237509498480243,0.275179439685112,0.443518633155875,0.076925331145235,0.0627508854781582,0.228258064516129,0.251271732131359,0.16,0.338945167286245,0.861051127342013,0.227173913043478,0.21656050955414,0.633032032984459,0,0.0520164329308842,0.0398981481481482,0.145364515286125,0.104732883817427,0.28742381815187,0,0.486770140428677,0.252491755221693
S100A2,0.0532919434016748,0.0209034333632192,0.40807761732852,0.0223697531344911,0.0122353937341236,0.14038688967731,0.00748792270531401,0.932284186401833,0.031436170212766,0.0261385976408912,0.0242901697112074,0,0.0256933890577508,0.0452651076638111,0.0605794230531138,0.0204255069745634,0.0533057851239669,0.0429677419354839,0.0294430135222151,0,0.0246328996282528,0.0547634169577644,0.0503623188405797,0.0298873101420872,0.351078338090707,0,0.00694409552379967,0.0169351851851852,0.0192082571204599,0.0214859958506224,0.616364684565969,0.225,0.149741315594974,0.512293880542323
S100A4,0.418870921166619,0.178437318706819,0.252542117930205,0.272506035355502,0.323835732430144,0.144188207467478,0.0702898550724638,0.206997708174179,0.219734042553191,0.634592070773264,0.244752723885131,0.2640625,0.411521656534954,0.581268812225052,0.906561842268169,0.0839585042785137,0.166646989374262,0.496387096774194,0.67271410173857,0.56,0.198331784386617,0.861686249603049,0.36195652173913,0.366731994120529,0.220726292419918,0,0.0479673114720182,0.192861111111111,0.457985367128299,0.306496369294606,0.0793856036896722,0.475,0.150234047795023,0.149890069622572
S100A6,2.29051400519781,0.285340963029376,3.23298736462094,0.488922202320692,1.3534716342083,2.59046291603311,0.652415458937198,3.84269926152279,0.670443262411348,1.40163007863696,0.362943011057556,0.553125,1.06482712765957,0.797059504514934,1.27216788411539,0.367512601101864,0.324852420306966,0.801677419354839,0.829185447520927,1.56,1.06524628252788,2.80103207367418,0.726449275362319,2.14821166095051,3.91149698699651,0.2,0.192051013019255,0.837861111111111,0.4632636529919,0.387927904564315,1.77449349365838,0,2.06893323478689,2.03519604250641
S100A8,0.021960727692752,0.0201650756816624,0,0.00944241102717857,0.00884843353090601,0,0,0,0.0278900709219858,0.00762614678899083,0.0440965612215967,0,0.00878609422492401,0.621324380643667,0.279967809830383,0.000849841753604502,0.609386068476978,0.0228387096774194,0.0197842884739214,0.16,0.00279275092936803,0.0112575420768498,0.0423913043478261,0.00391964723174914,0.00156993339676498,0,0.00101819149093381,0,0.0156022994512673,0.0105938796680498,0,0,0,0
S100A9,0.201862546924632,0.146476979062286,0.170412154031288,0.150864418658983,0.132472480948349,0.244711944585234,0.169323671497585,0.190954927425516,0.248457446808511,0.107069134993447,0.25301551298149,0.0921875,0.117258738601824,1.15431812919657,0.88625727374025,0.126391982182628,1.09462809917355,0.195225806451613,0.171426271732131,0.16,0.109763011152416,0.17829469672912,0.307608695652174,0.128858402743753,0.161417697431018,0,0.0733851542065052,0.0739722222222222,0.135853148680429,0.133259854771784,0.073455773348707,0,0.160827790096083,0.185800659582265
S100B,0.075526999711233,0.0425795053003534,0.0416516245487365,0.111070010123822,0.052878916172735,0.0648673762459875,0.0533816425120773,0.0486580086580087,0.0663652482269504,0.0403915465268676,0.055316132690672,0.0453125,0.0551386778115502,0.082079184996527,0.139692955305188,0.0349607314500059,0.0686540731995277,0.10258064516129,0.0832099162910496,0.36,0.0413615241635688,0.0633375674817402,0.101086956521739,0.0382165605095541,0.0497779892166191,0,0.026495145487594,0.0198981481481482,0.0496237261562582,0.0494942946058091,0.0232169329599736,0.725,0.0504557772850456,0.0425247343349212
S100P,0.0236933294831071,0.0187411001529455,0.0509777376654633,0.0164512109648781,0.00969517358171042,0.0404544686602467,0.0509661835748792,0.0364858670741024,0.0200886524822695,0.0176195937090433,0.0160678844829681,0.053125,0.0228438449848024,0.0392451956471405,0.027646403367587,0.0137439924979487,0.0828217237308146,0.0380645161290323,0.0365260785576304,0.16,0.0167332713754647,0.02459510955859,0.0423913043478261,0.0242528172464478,0.0408975578813828,0,0.0177614565014999,0.0208240740740741,0.0308100339691664,0.0295254149377593,0.0123455773348707,0,0.0344419807834442,0.0384939538292415
