,B cell,Conventional dendritic cell,Endothelial,Fibroblast,Keratinocyte,Macrophage,Malignancy A,Malignancy B,Mast cell,Monocyte,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
COL17A1,0.0236559139784946,0,0.00616477272727272,0.029574824045229,0.524393162393162,0.0132209675633787,0.014821608040201,0.0236916528595098,0.000787401574803148,0.0887096774193548,0.0148535564853556,0.00964083175803403,0.00472350230414746,0.028740157480315,0,0,0.014589905362776,0
COL1A2,0.340860215053763,0.0719512195121951,0.843096590909091,10.0760153455636,0.0208034188034188,1.22992638104727,0.0235653266331658,0.0759684054162144,0.378740157480315,0.0887096774193548,0.0131799163179916,0.132514177693762,1.73513824884793,2.08385826771654,0.0337837837837838,0.0516949152542373,0.640772870662461,0.812672811059908
COL21A1,0.0021505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177966101694915,0.000394321766561513,0
COL24A1,0.0021505376344086,0,0.00389204545454545,0.0977645090573439,0,0.0116157422783129,0,0,0.000787401574803148,0,0,0.0190926275992439,0.020852534562212,0,0.00675675675675676,0.0347457627118644,0.00354889589905363,0
COL27A1,0.0129032258064516,0,0.0405397727272727,0.103533517941618,0.0874700854700855,0.0177598804383926,0.0898467336683417,0.0870522196194938,0,0,0.00313807531380753,0.00964083175803403,0.00587557603686636,0.0366141732283465,0,0,0,0.00161290322580645
COL2A1,0.00752688172043011,0,0.00332386363636364,0.00396042459905388,0.0043931623931624,0.00270397431639544,0.00170603015075376,0.00449494372393304,0,0,0.0140167364016736,0.0209829867674858,0.00472350230414746,0,0.0157657657657658,0,0.00512618296529968,0.00161290322580645
COL4A1,0.0612903225806452,0.0475609756097561,3.28201704545455,0.995364601361486,0.00952136752136752,0.0935929370087457,0.00944472361809044,0.0104367822658973,0.0519685039370079,0.0887096774193548,0.00313807531380753,0.0720226843100189,0.0876728110599078,0.028740157480315,0,0.0177966101694915,0.041403785488959,0.05
COL4A4,0.00752688172043011,0.0231707317073171,0,0.00534498673127956,0.0136239316239316,0.000711280859072291,0.00502261306532663,0.0102653830771868,0,0.0887096774193548,0.00648535564853556,0.00396975425330813,0.00933179723502304,0.028740157480315,0.00675675675675676,0.000847457627118645,0.00197160883280757,0
COL4A5,0,0,0.00502840909090909,0,0.0129401709401709,0,0.0731130653266332,0.0989358967034223,0.0047244094488189,0,0.00397489539748954,0,0,0,0,0,0.00670347003154574,0.00852534562211982
COL4A6,0.0129032258064516,0,0.00275568181818182,0,0.0211452991452992,0,0,0.00438067759812603,0,0,0,0.00396975425330813,0.00702764976958525,0.012992125984252,0,0,0,0.00161290322580645
