,B cell,Central venous LSEC,Cholangiocyte,Erythroid,Hepatocyte A,Hepatocyte B,Hepatocyte C,Hepatocyte D,Hepatocyte E,Inflammatory macrophage,NK like cells,Non-inflammatory macrophage,Periportal LSEC,Portal endothelial cells,Stellate cell,T cell CD3 alpha beta,T cell gamma delta
RPL32,0.506288873531444,0.531884057971015,0.783169558854276,0.492432950191571,1.59641787606542,0.675260881827583,2.4841377175647,2.8110394698547,1.17129225295164,0.500918055083305,0.512390988372093,0.441356215989954,0.617606444188723,0.333519553072626,0.600169882295838,0.520894320843091,0.666802892172273
RPL34,0.668463487675651,0.631521739130435,1.25923060840477,0.59683908045977,2.01774936650541,0.859288333176648,3.24506059668087,3.5406049208588,1.54230955846676,0.7,0.635210755813953,0.603976559229803,0.868140720039454,0.443389199255121,0.86215265137726,0.664629683840749,0.924897830870795
RPL37,0.794932043307993,0.766485507246377,1.57618649383232,0.698371647509579,3.36237042156185,1.23650935414121,4.96011730438026,5.40479996417937,2.34499433931748,0.871200272016321,0.798728197674419,0.712913352867309,1.06031563373336,0.486219739292365,1.06473728916394,0.778066451990632,1.1873939012889
RPS4Y1,0.118590186592951,0.131295289855072,0.187936441563872,0.142816091954023,0.431594102741304,0.278626492432077,0.765890457709311,0.796005999955224,0.274640142325732,0.11822509350561,0.115588662790698,0.135789033068229,0.152704257767549,0.0783985102420857,0.137543987380172,0.119254976580796,0.154699779943414
RSPO3,0,0.00335144927536232,0.00186075684716705,0.0068007662835249,0,0,0,0,1.61733786187904e-05,0.00261815708942536,0,0,0,0.0560521415270019,0.0683169518262347,0,0.00537566802892172
RUNX3,0.0819626814098134,0.0726449275362319,0.0737821450972193,0.100670498084291,0.00646164478230823,0.0574645106703018,0.0342698635681802,0.0236684800859695,0,0.0830329819789187,0.191533430232558,0.0677689409794893,0.0506164721354595,0.0262569832402235,0.0510253609998787,0.172314110070258,0.486985224772084
RXRA,0.0388850495277586,0.10661231884058,0.0930169349780472,0.0681034482758621,0.274026721953467,0.197353577136411,0.571457256918815,0.320028208744711,0.0603428756267184,0.0668820129207752,0.0570857558139535,0.148451234826287,0.0437119842183133,0.0690875232774674,0.151801965780852,0.0495096604215457,0.0412134548883999
RXRB,0.0630730246486985,0.0896286231884058,0.0915534183566799,0.0527777777777778,0.0601359133840129,0.0671946977531259,0.13037532639666,0.0708733516914053,0,0.0553213192791567,0.0523619186046512,0.0691293428212641,0.0560414269275029,0.0430167597765363,0.0811187962625895,0.0648053278688525,0.0673058786545112
RYK,0.0402672195346694,0.0590579710144928,0.0765001045369015,0.049904214559387,0.0369845657682562,0.0474992949139795,0.0959697453113963,0.0555712270803949,0.0110140708393983,0.0410404624277457,0.0476380813953488,0.0413980745081624,0.0489725464409009,0.0169459962756052,0.07408081543502,0.0534616510538642,0.0487582521219742
RYR2,0.0310527528219304,0.0210144927536232,0.0321764582897763,0.0173371647509579,0.00565537894494356,0.0209880605433863,0.0103645324888688,0.0075156155551078,0,0.0291397483849031,0.029469476744186,0.0220385098367518,0.0345060003287851,0.0206703910614525,0.0325809974517656,0.0320184426229508,0.0273813266268469
S100A10,0.0328956461644782,0.0807971014492754,0.207589379050805,0.0259578544061303,0.05074867542041,0.0494265300366645,0.153256823575164,0.166816665547272,0.0517709849587579,0.0503910234614077,0.0341933139534884,0.0238174968606111,0.147936873253329,0.0653631284916201,0.0667394733648829,0.0394101288056206,0.0701351776171015
S100A2,0.0398064961990325,0.0366394927536232,0.0562199456408112,0.0431992337164751,0,0.0221161981761775,0.0033484924244228,0,0,0.0415504930295818,0.0443677325581395,0.0281079949769778,0.0336840374815058,0.0355679702048417,0.0265744448489261,0.0586577868852459,0.0550455831499529
