,Acinar,B cell,Dendritic cell,Endothelial,Fibroblast,Macrophage,Mast cell,Mesenchymal cell,Monocyte,Neutrophil,NK cell,Pancreatic A cell,Pancreatic D cell,Pancreatic ductal cell,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory,Type B pancreatic cell
IGFBP5,0.0871367213517999,0.0576707726763718,0.163875598086124,0.288162804399057,0.33900355463823,0.106072745424572,0.106784916589624,0.286061307113939,0.0811886384011545,0.0608875128998968,0.0508916920400174,0.458127890532431,0.23969465648855,0.0876351847486632,0.0783910997004707,0.115288220551378,0.123545706371191,0.153779510504657,0.0314327485380117,0.359753736027458
IGFBP6,0.0852854877018348,0.121500559910414,0.148724082934609,0.128088177533386,0.200495929365898,0.080488940530972,0.10414229261947,0.182520403573035,0.0654013513218026,0.0332582793883104,0.10461070030448,0.11027022894928,0.132824427480916,0.133834923836468,0.101426330052774,0.151002506265664,0.0919667590027701,0.141433831492311,0.0592105263157895,0.13201965838219
IGFBP7,0.568305729879614,1.6427771556551,1.45933014354067,3.87137175962294,4.5265307877537,1.23431057119966,0.483281108102138,4.62256924362188,1.04545951501104,0.64199268224036,1.50543714658547,1.12116347513664,0.905343511450382,1.437390475699,0.396006275852232,0.758145363408521,1.06038781163435,1.04404014150603,0.906432748538012,0.905681165613857
IGHA1,0.0206137023235458,1.36618141097424,0.0502392344497608,0.0415210133542812,0.0383499598669877,0.0458989987122105,0.0432064928370982,0.0198830409356725,0.0471213347036057,0.0617787784970448,0.0508916920400174,0.0485418338875511,0.0366412213740458,0.0362005831383198,0.271345029239766,0.0081453634085213,0.0182825484764543,0.0234640098187856,0.00365497076023392,0.0731513508460316
IGHD,0.0646427151000928,2.53639417693169,0.0502392344497608,0.0525284760408484,0.0417813324160073,0.0562600411924847,0.0424292504929353,0.0443030653556969,0.0446286051647607,0.0323670137911624,0.0426272292301,0.0322019646065054,0.0610687022900763,0.0777969669285264,0.0469547853373271,0.0795739348370927,0.060387811634349,0.048155367843477,0.156432748538012,0.071375151911751
IGHG1,0.157252954546544,1.31298992161254,0.0956937799043062,0.0933866849960723,0.112641898864809,0.0835972532750542,0.26067890073388,0.0526058736585052,0.0732949948614786,0.0796040904400037,0.0715528490648108,0.117532393074189,0.108396946564885,0.159535606030457,0.398174297532449,0.115288220551378,0.123545706371191,0.130459894592448,0.0869883040935673,0.0827935736321265
IGHG2,0.20267797958372,0.961926091825308,0.148724082934609,0.169506087981147,0.179689829148033,0.119143599015072,0.394053686992236,0.0897243107769423,0.0865895524019855,0.0493010601369734,0.129404088734232,0.240262966785155,0.146564885496183,0.280909632803039,0.411995435743831,0.151002506265664,0.239335180055402,0.219623131903834,0.114766081871345,0.340849904512614
IGHM,0.0364554066724275,4.25979843225084,0.0123604465709729,0.0597113118617439,0.0313238160761381,0.0435876892358417,0.0528442979047183,0.019394640447272,0.0371504165482256,0.0261281546111267,0.0384949978251414,0.0387379123189237,0.0381679389312977,0.0413855898273108,0.0995293110825845,0.139097744360902,0.165650969529086,0.0632445310807884,0.142543859649123,0.0531056771591501
IGKC,0.0506461747826518,3.58958566629339,0.0805422647527911,0.0973045954438335,0.0683608531131751,0.0667804843263015,0.0711872172269629,0.0384422594948911,0.0612468020903942,0.0493010601369734,0.0426272292301,0.0848526545120973,0.0931297709923664,0.059001317680934,0.241805733846812,0.317669172932331,0.249861495844875,0.0769619522056169,0.100877192982456,0.113115826867346
IL10,0.0592286153762605,0.100223964165733,0.125996810207337,0.0535545954438335,0.0538728356839812,0.116752589211932,0.12217431500405,0.0208598419124735,0.118164126560689,0.0234543578196829,0.0756850804697695,0.077590490387188,0.0381679389312977,0.0717145552356716,0.10278134360291,0.0319548872180451,0.060387811634349,0.0893076312179626,0.00365497076023392,0.0798755325258083
