,B cell,Endothelial,Fibroblast,Glomerular endothelium,Macrophage,Malignancy A,Malignancy B,Mast cell,Mesangial cell,Monocyte,Myofibroblast A,Myofibroblast B,Neutrophil,NK cell,Pelvic epithelium,Plasma,Plasmablast,Podocyte,Principal cell,Smooth muscle,T cell,Transitional urothelium,Tubule,Type A intercalated cell
NHP2,0.119828194869381,0.139940888707705,0.175241706161137,0.068361581920904,0.0597796143250689,0.579923427686484,0.246527481891777,0.0493975903614458,0.0680805938494168,0.0863426992169507,0.0770597014925373,0.0677204074464348,0.014200477326969,0.0986021911598036,0.4,0.0919917864476386,0.0830684174153421,0.0830172413793103,0,0.0824116743471582,0.102217071450166,0.0380952380952381,0.22909655707999,0.0185714285714286
NID1,0.019333960931984,0.197421524663677,0.454483412322275,0.119209039548023,0.0228650137741047,0.157313086122344,0.171538133787814,0.00120481927710843,0.162460233297985,0.0195532012897282,0.214373134328358,0.0652616789603091,0.014200477326969,0.0370230449565546,0,0.0765913757700205,0.0460953697304768,0.020948275862069,0,0.07357910906298,0.0245187947193389,0.0857142857142857,0.0188972301320217,0.161428571428571
NID2,0.0214521063779713,0.0566754993885039,0.145668246445498,0.011864406779661,0.0179063360881543,0.0617267486879463,0.18005965061781,0,0.031671968893602,0.014486411791801,0.0582537313432836,0.019072708113804,0.00465393794749403,0.0321118247072157,0,0.0314168377823409,0.0312370421561852,0.0071551724137931,0,0.0248079877112135,0.0215962914441197,0,0.0336526016049702,0.0185714285714286
NINL,0.00662508825606025,0.020902975947819,0.0362843601895735,0.00621468926553672,0.00826446280991736,0.148021164931601,0.0705581593523647,0.0132530120481928,0.0139978791092259,0.000207277752187931,0.0181542288557214,0.00396909027046013,0,0.0204004533434076,0,0.0201232032854209,0.0198341395991707,0.0278448275862069,0,0.00752688172043011,0.0091000705431825,0,0.116230908620243,0.0471428571428571
NIPBL,0.0402800658978583,0.0577965756216877,0.0728720379146919,0.0457627118644068,0.0363636363636364,0.243951647595285,0.09995739241585,0,0.0214209968186638,0.0365960386918471,0.0477064676616915,0.0331225851773797,0.00704057279236277,0.0438231960710238,0,0.0396303901437372,0.0509329647546648,0.0278448275862069,0,0.0378648233486943,0.0460848533709564,0,0.0978514108206057,0.0185714285714286
NISCH,0.0668745587196987,0.131379942927028,0.160454976303318,0.107909604519774,0.0763085399449036,0.205321345607847,0.110183212611845,0.0132530120481928,0.0839872746553553,0.0646936895439889,0.109696517412935,0.0601685985247629,0,0.0664903664525878,0,0.0704312114989733,0.0561161022805805,0.0864655172413793,0,0.0789554531490015,0.0777285095233296,0,0.179653119337303,0.104285714285714
NIT2,0.0292186396799247,0.0253872808805544,0.0451943127962085,0.011864406779661,0.0162534435261708,0.31906134388712,0.0645930975713677,0.0132530120481928,0.0175326970661011,0.022316904652234,0.0209402985074627,0.0162627327010889,0,0.0249338874197204,0,0.0201232032854209,0.0187975120939876,0.0243965517241379,0,0.0098310291858679,0.0287513856696564,0,0.049184571576495,0.104285714285714
NKD1,0.011332078136032,0,0.00329857819905213,0.011864406779661,0.00523415977961432,0.002189624021337,0.00749893481039625,0,0.00586779780841287,0.0135651773376324,0.0149701492537313,0.00203723217421847,0,0.00566679259539101,0,0,0.0111955770559779,0.0743965517241379,0,0.0251920122887865,0.00859619066814471,0,0.00906031581672275,0
NKG7,0.0569898799717581,0.0437321646962903,0.0334407582938389,0.0288135593220339,0.0261707988980716,0.0649961283661705,0.0743928419258628,0.0253012048192771,0.0178861788617886,0.0310686319668356,0.0219353233830846,0.0350544432736214,0.00704057279236277,0.449943332074046,0,0.0509240246406571,0.0509329647546648,0.020948275862069,0,0.0175115207373272,0.104232590950317,0.0380952380952381,0.0248511519544396,0.0471428571428571
NKIRAS2,0.0508707931277948,0.0687015898899307,0.084436018957346,0.011864406779661,0.0355371900826446,0.158775703346812,0.0935662547933532,0.0253012048192771,0.0210675150229763,0.0587056655918931,0.0338756218905473,0.0257463997190025,0.00465393794749403,0.0408009066868153,0,0.035523613963039,0.0357290946786455,0.064051724137931,0,0.0328725038402458,0.0373173435452988,0.0380952380952381,0.0937095521615325,0.0471428571428571
NKX2-2,0.0219228053659685,0.0341520587036282,0.0266161137440758,0.0175141242937853,0.015702479338843,0.109304826636841,0.11998295696634,0.0373493975903614,0.0147048427006009,0.022316904652234,0.0185522388059702,0.0148577449947313,0.0118138424821002,0.0317340385341896,0.2,0.0262833675564682,0.0250172771250864,0.0226724137931034,0,0.0182795698924731,0.0205885316940441,0,0.0639399430494434,0.0471428571428571
NKX2-5,0.0346316780418922,0.0435283326538932,0.0362843601895735,0.0288135593220339,0.0234159779614325,0.109648971866128,0.093992330634853,0.0132530120481928,0.0277836691410392,0.0250806080147398,0.0318855721393035,0.0276782578152441,0.0356801909307876,0.0415564790328674,0,0.048870636550308,0.0364201796821009,0.0399137931034483,0,0.0251920122887865,0.0282475057946186,0,0.075588920528087,0
