,Acinar A,Acinar B,Active stellate,Alpha cells,Beta cells,Delta cells,Ductal,Epsilon cells,Gamma cells,Macrophage,Quiescent stellate
CGB8,0.023764914702692,0.0220145495243425,0.016265664160401,0.0187449392712551,0.0303875968992248,0,0.0283424060968971,0,0.0648648648648649,0.0309549071618037,0.0160281585772508
CGGBP1,0.0379975676297538,0.0421600447677672,0.0300501253132832,0.0612550607287449,0.041046511627907,0.0973831775700935,0.0344665215024496,0,0,0.0216710875331565,0.0486328269729529
CGN,0.0428623081221444,0.0396418578623391,0.0137593984962406,0.0389878542510121,0.0216666666666667,0.0226168224299065,0.101559608056614,0,0,0.0269761273209549,0.0215857725083364
CGNL1,0.0193932222331788,0.0214549524342473,0.0012280701754386,0,0,0,0.0194964616222101,0,0.0108108108108108,0.0110610079575597,0.00343090033345684
CGREF1,0.00167636327778326,0.00718522663682149,0.0049874686716792,0.0167206477732793,0.0139147286821705,0,0.00439031028851388,0,0,0.0110610079575597,0
CGRRF1,0.0672188804522894,0.049994404029099,0.0049874686716792,0.0146963562753036,0.0119767441860465,0.0413084112149533,0.0197686445291236,0,0,0.0176923076923077,0.0301074472026677
CH25H,0.00936791243467114,0.0139003917179631,0.0112531328320802,0.0288663967611336,0.0226356589147287,0.0413084112149533,0.0140528034839412,0,0.0648648648648649,0.0123872679045093,0.0178806965542794
CHAC1,0.02606580547612,0.0211751538891998,0.022531328320802,0.0268421052631579,0.0158527131782946,0.0506542056074766,0.0147332607512248,0,0,0.0123872679045093,0.0156576509818451
CHAC2,0.00726424087039411,0.00942361499720201,0.0074937343358396,0.0106477732793522,0.0168217054263566,0.0132710280373832,0.00738432226456179,0,0.0378378378378378,0.00840848806366048,0.0115820674323824
CHAD,0.0239950037800348,0.0281701175153889,0.0074937343358396,0.0207692307692308,0.0177906976744186,0.0132710280373832,0.0277980402830702,0,0,0.0163660477453581,0.0178806965542794
CHADL,0.00200506195970154,0.00494683827644096,0,0.0106477732793522,0.00325581395348837,0.0226168224299065,0.0114670658682635,0,0,0.00442970822281167,0.00454242311967395
CHAF1A,0.00953226177563028,0.0119418019026301,0.0087468671679198,0.0248178137651822,0.0148837209302326,0.0319626168224299,0.0145971692977681,0,0,0.0216710875331565,0.00898851426454242
CHAF1B,0.0133122966176906,0.00690542809177392,0.0112531328320802,0.0126720647773279,0.0274806201550388,0.0132710280373832,0.0197686445291236,0,0.0378378378378378,0.0256498673740053,0.0123230826231938
CHAMP1,0.0234033461525819,0.0245327364297706,0.016265664160401,0.0227935222672065,0.0148837209302326,0.00392523364485981,0.0252123026673925,0,0.0108108108108108,0.0110610079575597,0.0130640978140052
CHAT,0.003451336160142,0.0021488528259653,0.0112531328320802,0.00659919028340081,0.0119767441860465,0.00392523364485981,0.0196325530756669,0,0,0.00973474801061008,0.0071359762875139
CHCHD1,0.0546954606712027,0.0623055400111919,0.0488471177944862,0.0713765182186235,0.0526744186046512,0.0506542056074766,0.0611404463799673,0,0.0918918918918919,0.0627851458885942,0.0497443497591701
CHCHD10,0.0569634815764389,0.0651035254616676,0.041328320802005,0.032914979757085,0.0371705426356589,0.0226168224299065,0.0457621121393577,0,0.118918918918919,0.0760477453580902,0.0389996294924046
CHCHD2,0.119843539427407,0.178421936205932,0.124035087719298,0.164493927125506,0.0953100775193798,0.134766355140187,0.149327708219924,0,0.172972972972973,0.139708222811671,0.114953686550574
CHCHD3,0.0125891595174703,0.0180973698936766,0.0212781954887218,0.0126720647773279,0.0177906976744186,0.0132710280373832,0.0194964616222101,0.485,0.0648648648648649,0.0283023872679045,0.0241793256761764
CHCHD4,0.00558787759261085,0,0.0024812030075188,0,0,0,0.00547904191616766,0,0.0108108108108108,0.00177718832891247,0.0078769914783253
CHCHD5,0.0188015646057259,0.0284499160604365,0.0112531328320802,0.0450607287449393,0.0313565891472868,0.0132710280373832,0.0241235710397387,0,0,0.00708222811671087,0.0149166357910337
CHCHD6,0.0204450580153174,0.0214549524342473,0.0187719298245614,0.0572064777327935,0.0274806201550388,0.0413084112149533,0.0298394120849211,0,0,0.0336074270557029,0.0212152649129307
CHCT1,0.00338559642375834,0.00326804700615557,0.003734335839599,0.0045748987854251,0.00228682170542636,0.0319626168224299,0.00997005988023952,0,0,0,0.00565394590589107
CHD1,0.0188344344739178,0.0245327364297706,0.0175187969924812,0.0308906882591093,0.00228682170542636,0.0226168224299065,0.0216739248775177,0,0.0108108108108108,0.0163660477453581,0.0126935902185995
