,B cell,Dendritic cell,Endothelial,Fibroblast,Macrophage,Mast cell,Monocyte,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
ALCAM,0.0980008772588427,0.196973401193249,0.0499310146102509,0.0587174194413222,0.288161195795472,0.0585165988965886,0.155643288294282,0.035448470180255,0.0344961053754643,0.0769450300580908,0.0823970037453183,0.107918050158954,0.0661424590539959,0.0511151064713378,0.0505029633422004
ANGPT1,0.00264837331710537,0.0064558047445739,0.0105861438266013,0.00937910695960677,0.00985800241175135,0.015172384170437,0,0,0.00482583153509441,0,0,0.0036674908748381,0.007514913067042,0.00325106223907733,0.00646439220128315
ANGPT2,0.00377458399358258,0.00046065578113973,0.103055869618834,0.000663958334977684,0,0.00311217379684248,0.00154078312305701,0.00264133222555359,0.00101543677819759,0.00313009215359547,0,0.00581514188154952,0.00846156794066829,0.000533662914393531,0.00315794596914988
ANGPT4,0,0,0,0,0,0,0,0,0,0,0,0,0.000575030132583367,0.00168630058901767,0
ANGPTL1,0.00812926527596113,0.0115356637899265,0.018380882378079,0.0264676818791545,0.0164347108918273,0.0221546112288338,0.0110788203558771,0.0176035834266517,0.0112780999901063,0.00922303134081487,0.00545274289491077,0.00635205463322737,0.0138297440116932,0.010719088814381,0.0179900279863823
ANXA1,0.0907180482176234,0.153497130084375,0.355758509622546,0.31338660026652,0.426905210674187,0.346873508581028,0.257229130629377,0.0574114077231514,0.137630790128805,0.0739131368740199,0.0445031945362415,0.0560164841634287,0.20825603511852,0.25723463343487,0.121554282066634
ANXA2,0.25957456897744,0.259304644614603,0.855549721982774,0.648785837660285,0.951641073916638,0.222372239085199,0.417422189696259,0.153911064552252,0.218207937921316,0.20961950968027,0.167658074465741,0.13395831861533,0.328491259809678,0.322070105760143,0.347462661312549
ANXA4,0.0501744638644438,0.0571171017103878,0.11027064250428,0.128283727094673,0.166931327567068,0.137678731649581,0.0755467587608414,0.0383311057327602,0.0584761897122016,0.0561590700557586,0.0360762282441066,0.0343610031790887,0.0671668871134916,0.0622935724524828,0.0692133191012104
APOA1,0.00715321602301422,0.00503710537154749,0.011560486145536,0.00397546896893407,0.0057188706005844,0.0180740889219785,0.00223027979048978,0.00772026153234838,0.0259100158565901,0.00342162034437151,0.00214805023132849,0.0147636877428471,0.0146380580479626,0.0137114929311096,0.00964633132838034
APOB,0,0,0,0.000425490234388398,0.000780403583054423,0,0,0.00168045370805187,0.00386053153001388,0,0,0.00384646179206406,0.00966944674386796,0.00227112921657844,0.00102526953317762
APOD,0.0846365105646465,0.229878073748281,0.311588324497506,0.691093028825656,0.269135435042039,0.347326899948457,0.135188220493776,0.0417628147238377,0.192043227257291,0.367132191156569,0.05783212161269,0.14326480631108,0.175299024275372,0.154520314658658,0.16080197580102
APP,0.0907180482176234,0.106680050774504,1.17580676276596,0.366070841458566,0.272119092198463,0.10458116182731,0.150586979399775,0.0401155944081205,0.0826086898392147,0.0688405463545167,0.0551332892707645,0.13154221123278,0.0894210665351849,0.08146628870005,0.0944751143852179
AQP3,0.0207428248525059,0.0142357690482671,0.0219766695074809,0.0123513536978794,0.0169728771693787,0.0213385067674627,0.00475843423774329,0.00387674746234151,0.023623779002452,0.0338280106423133,0.0325512227362855,0.014942658660073,0.0665445672685098,0.0302905366097477,0.0455199905653665
AR,0,0.0064558047445739,0.0196568068433507,0.034946820837221,0.00976303189218346,0.00619523509535536,0.00246011201296738,0.00662211465520355,0.00462261048139324,0.00304263369636265,0,0.00796279288826092,0.00228167726219412,0.00608210482633453,0.0110985729024244
AREG,0.00835450741125658,0.0951931623025804,0.0189376494174703,0.0135535279369326,0.0500938458686783,0.324113261936124,0.0681921276415585,0.0100538236462811,0.0269769263885212,0.033040884527218,0.00787618418153779,0.0238017190627576,0.0320507287105434,0.0131495996765142,0.00938205434695678
ARF1,0.177060866747543,0.146998571665996,0.415054199317716,0.286702757340787,0.323482314864761,0.184106007674245,0.173570201647534,0.124535635588628,0.141644405939403,0.163995347823819,0.148986560916501,0.113645119510185,0.17731347716596,0.181674429663926,0.174814421416758
ARG1,0,0.00485404738793118,0,0,0.00108114356168606,0.00147996487410038,0.00223027979048978,0.0225452443738034,0.00589274206702552,0,0,0,0.00132179764479692,0.00175486741001791,0.00283865241623101
ARHGDIB,0.353200216548579,0.245483766851571,0.535803050985697,0.114014976003743,0.571988507734058,0.502930817249871,0.333763260714415,0.112456019940035,0.318040280552013,0.144725334413522,0.0679665124476757,0.115792770516896,0.644234977337904,0.565596892026268,0.521536372628649
ARTN,0.0213434705466271,0.0038014639821374,0.0113053012524816,0.0147532437419591,0.00810104779974549,0.0129961056067808,0.00039162201066905,0.00456308926055702,0.00523227364249673,0.0176773488733203,0.0463758537122714,0,0.00922166156248671,0.00856491082534025,0.0136815350861503
ATF3,0.0211182284113317,0.0323585094262818,0.0640821768614456,0.107463249322604,0.0887943325925911,0.0364817784395701,0.0372796937183225,0.0232315861720189,0.0178827842353942,0.03082527027732,0.00716016743776162,0.022280466266337,0.0223131488873847,0.0220014676273505,0.0202877338889455
ATG10,0.0381615499820201,0.0312143970286799,0.0429250293645774,0.0402644136369594,0.0496427359007308,0.0369351698069985,0.0270521598180697,0.0299577357945309,0.0326163106287285,0.0331283429844508,0.0363516192994052,0.0195064170493347,0.0399452118430889,0.0294799170687083,0.0295695770102664
ATG12,0.135916636700242,0.0605952033990977,0.10368223253815,0.0742178459796258,0.0856365628169589,0.156630490808087,0.0719843593124388,0.0392919842502619,0.0647760423769376,0.066829001838162,0.219266358228685,0.0537793476981043,0.109541489612647,0.108450588081501,0.102816707604049
ATG5,0.0505498674232695,0.0374841329675385,0.077444585806836,0.0529253488744319,0.0760287119206746,0.0444614665063093,0.0424509187240683,0.0399783260484774,0.0509570107252585,0.0541183727203263,0.0353051332892708,0.0341820322618627,0.0889947408681592,0.0820025541594589,0.0737175284411203
ATM,0.127207274135485,0.0408707056644403,0.0580505339347069,0.0578422169278192,0.0997475991827537,0.0421038313956818,0.0450939892825606,0.0174663150670086,0.0622357792056731,0.0573251828188628,0.106080634500991,0.0272021664900506,0.129796086400231,0.156518094784845,0.0793046945454688
ATR,0.0517511588115118,0.0399554157463587,0.0552203014844679,0.0369602783050831,0.0630098365299105,0.0272325945440315,0.0406122609442475,0.0144464111548604,0.0358170422245218,0.0147329141464822,0.0122824410663142,0.0353453432238314,0.0479153698896409,0.0651292471262164,0.0468996687779737
AXL,0.0617368934762765,0.113727783143732,0.0757046888087383,0.157669389015743,0.185316037313417,0.0434640054979669,0.0678473793078421,0.0199371455405845,0.0324638948384526,0.0450226931681136,0.0175148711169861,0.0612066407629813,0.0455195189397564,0.0435935163034136,0.0448338469020429
AZGP1,0.0350832407996491,0.00814909109302477,0.0248301005843612,0.0091725985013645,0.0120502385717767,0.00719269610369776,0.0138368070256081,0.012524654119857,0.0123450105220375,0.00444196901208768,0.0384996695307336,0.000982927116448842,0.0382981468875765,0.0317373715664014,0.0238833959617855
AZU1,0.487219287049368,0.862297642646729,0.968109458446376,0.630025527602586,0.73254408527353,0.805070824504133,0.941324740833928,0.351714770797963,0.721738903729374,0.921239823364604,0.183906146728354,0.811900153067232,0.505724725755414,0.490406837920347,0.494049300881836
B2M,4.09251998529999,2.56267748796273,7.0629918414093,4.185690620052,8.73590762450823,3.82057680927018,3.60496528323797,2.80675938301485,3.19473590621883,3.21040663579537,2.67189909671734,1.53914847521488,7.23415607184241,7.2612700907525,7.0101602357884
B3GNT7,0.0136852379465821,0.0134120081219937,0.0035569599542865,0.00397546896893407,0.0420292659153721,0.00129860832712903,0.0162500453616229,0,0.0125482315757386,0.00286771678189702,0.00132187706543292,0.00518874367125869,0.00282497926607005,0.00690330140207277,0.00647986865407827
BAG3,0.0305783980937402,0.0202309180117013,0.183531905437514,0.0890889134070958,0.0615773645264283,0.0235147853311189,0.029120649820368,0.0141718744355742,0.0236745842658773,0.0494539216679095,0.0820114562679004,0.0118106676086189,0.0404384242813272,0.0267144629452147,0.0284714742002787
BATF3,0.0117331394406882,0.0235259617167949,0.015086677395014,0.0108689179797831,0.0188406307208804,0.0119986445984384,0.00694184035128041,0.0103283603655673,0.00309845257863452,0.00863997495926277,0.0145957259308218,0.00214623807841752,0.0180511889450592,0.0112622190476738,0.0182645412075088
BAX,0.182091274435808,0.156517586814044,0.322978850178385,0.225460707301821,0.325041414227667,0.166423744344539,0.182303826101683,0.0832178593360546,0.141288769095426,0.0791314914889112,0.0695637805684071,0.0989695042976569,0.268434153783705,0.252848080966607,0.250499410447557
BCL2,0.187271843547603,0.164114493134121,0.0902734263394765,0.0724256475741661,0.189573882274044,0.121537998969131,0.113583991580883,0.0351739334609688,0.200934148356717,0.088664463327288,0.0631196298744217,0.0923475803602967,0.377929249993807,0.192025124335066,0.426305505212266
BCL2L1,0.179463449524028,0.176287849044606,0.449828940653029,0.297097016405648,0.448914628584044,0.286753813260027,0.216663743362082,0.143753205938663,0.190163432510555,0.251745333247409,0.204450319453624,0.147381137407277,0.265612990178726,0.253476532491898,0.479223836332787
BECN1,0.0507000288467998,0.0421978760456585,0.131497385881072,0.0695886147073616,0.101607438524291,0.0654081476814997,0.0524486204018435,0.0314676877506051,0.0472482264952123,0.0337988578232357,0.0178453403833443,0.0316764394206994,0.0881360130171738,0.0796570662508121,0.0706976546622746
BEST1,0.0130845922524609,0.0168443453147995,0.00590002124505808,0.0103649390043109,0.0399399144848787,0.0235147853311189,0.0352112037160241,0.0878849835639201,0.00289523152493336,0.00826098831125391,0.00286406697510465,0.00912610385022961,0.00624199646605615,0.0116352145895641,0.00599797429083538
BGN,0.295237907065885,0.545195450527376,1.7459826083559,2.80095798704457,1.11597172960893,1.14602113281026,0.384786014104441,0.176011270454792,0.500736007829359,0.891912087372533,0.477197620621282,0.297716707877075,0.655016828043019,0.574084026921617,0.714398840373395
BID,0.072173112411632,0.0718532693915008,0.112451313408562,0.0482272814494202,0.110700865772916,0.0567937117003608,0.070145701532618,0.0943365964671459,0.0494328528224998,0.0361602361685217,0.0633950209297202,0.0470679383021312,0.0981718541255323,0.0787999528185205,0.0712749526477386
BIRC5,0.049273495323262,0.0247158386103009,0.0613215402911306,0.046808765016018,0.047070617662434,0.0216105415879197,0.0277416564855024,0.0283105154788137,0.0354614053805448,0.0145871500510942,0.0167437761621503,0.0207592134699164,0.0518353069288288,0.0430096563423498,0.0502020241330395
BMP1,0.0319298509055129,0.0411452926398647,0.270735542982171,0.292890635785975,0.0932104617524977,0.0555242158715614,0.0447492409488442,0.0277614420402413,0.0355630159073954,0.0328368147936748,0.0308988764044944,0.0324818085482162,0.0338272279590602,0.0469593044055155,0.0318781364870097
BMP2,0.0127842694054003,0.00489981188383526,0.0429250293645774,0.0325326386230078,0.0173211024077942,0.0129961056067808,0.0045286020152657,0.0122501174005708,0.00701045786238191,0.00858166932110756,0.00980392156862745,0,0.00493373192637255,0.0088755589185494,0.0163645850631901
BMP4,0.0124839465583397,0.0137781240892263,0.0541763632856093,0.0547101719778115,0.0268181543645827,0.0256003856212893,0.0106191559109219,0.0185644619441535,0.00929669471652,0.018726850360114,0.0143754130865829,0.0084102201813258,0.0183054247795151,0.0170754859941132,0.0181729941300851
BMP5,0.00377458399358258,0.0017420616664539,0.00673517180414498,0.00925372682424539,0.00175385140862524,0.000573182139243643,0,0.003190405664126,0.00203154204670341,0.0033633147062163,0,0,0.0173362752077948,0.0040663085664236,0.00268290757229384
BMP6,0.00347426114652199,0.00590663079372496,0.0354550715860779,0.00445978047219272,0.00451591068605787,0.00456302617261325,0.00349435701411654,0.0184271935845103,0.0032000631054851,0.0299798385240695,0.0151465080414188,0.000446014364770989,0.00327111538358835,0.00113741406204865,0.00280194304999332
BMP7,0.00857974954655202,0.00444216692479448,0.0210255258151875,0.0209706233954675,0.00571095639062041,0.0156257755378653,0,0.00868114004985009,0.00457180521796795,0.00554977613703666,0,0.00169881078535265,0,0.00374017494186587,0.00370248359069025
BMPR1A,0.0356838864937703,0.0191783346059075,0.0374733521038712,0.0856397304676446,0.0444035289045692,0.0667683217837848,0.0242941731483386,0.0321540295488206,0.0266720948079695,0.0344985254810982,0.0249504296100463,0.0159269987048157,0.0591063601941105,0.0393288616435982,0.0267452208092098
BMPR2,0.0623375391703977,0.047781144545956,0.449504159880051,0.205210586223945,0.122983719637029,0.0849039764809194,0.0552066070715746,0.0182899252248672,0.0407959580402003,0.0636804973777806,0.038995373430271,0.0286339338278582,0.0680052057900907,0.0564303004825023,0.0729325087804344
BMX,0.000996597658272119,0.00146747469102944,0.0401643927942624,0.00567916374943278,0.00420725649746224,0.00293081724987114,0,0.019250803742369,0,0,0,0,0.00730704741106865,0.00213768232091299,0.00558037488578635
BRCA1,0.0196916948877939,0.0116271927817347,0.0196104095900681,0.0249360774805244,0.0194658533080356,0.0137215317946662,0.00981474313225029,0.0155445580320052,0.0110240736729799,0.00872743341649558,0.00826173165895572,0.00751536559519605,0.014926225592732,0.0174481516103365,0.0247982726099262
BST1,0.0132347536759912,0.0194529215813319,0.0205383546557202,0.0330784109769338,0.0615852787363922,0.0331266823206002,0.08140748043402,0.119182169562547,0.0081789789211636,0.00493756693640696,0,0.0157480277875898,0.0120743386419527,0.0208129936033273,0.0103644441351866
BST2,0.268359012253963,0.10462064845882,0.291127135799876,0.192955292600877,0.241799753826416,0.17458478895825,0.106689024906555,0.0458808655131308,0.125793163750712,0.14011918899926,0.262172284644195,0.103443777228306,0.241407599287172,0.200432117409006,0.235472939983843
BTG1,0.54705861432619,0.441081222345599,0.443565311459877,0.207219126823754,0.708342431203647,0.44616621804784,0.417996770252453,0.247939890907777,0.585682408276445,0.30188818206089,0.170577219651906,0.277671965147769,1.04729863995519,0.941425775513773,0.798628870330411
BTK,0.120374929364857,0.0933625824664173,0.0197959986031985,0.0160685059462403,0.159911423329008,0.285574995704713,0.104505618793018,0.0277614420402413,0.0196609684552793,0.0846122214755009,0.0666997135933025,0.0715869539620864,0.0357844217338802,0.0186926784064103,0.0228261439941283
C11orf96,0.0892164339823205,0.189330730377268,0.664485832965004,1.02819596099992,0.347984708913275,0.347598934768914,0.159895184410117,0.0848650796517718,0.203931658898809,0.274542837766096,0.075567305573915,0.18058024255269,0.200675753587169,0.185002674265204,0.176484119219222
C1QA,1.14207325506498,0.551922831425275,0.142400740402484,0.187640158235165,1.61133004546505,0.186554321058359,0.745967351727975,0.0432727666799119,0.229131069557754,0.242882876247817,0.306510244547257,0.474897915930767,0.424902565980993,0.207803296719194,0.201557458160945
C1QB,0.872158096269279,0.493939215114809,0.137969802713995,0.164127695203867,1.74878404411964,0.166242387797568,0.746656848395408,0.0357230068995412,0.180053185088923,0.258625398549724,0.187596386869354,0.42058024255269,0.35460728261703,0.189929701191399,0.195635090405357
C1QC,1.17428288041223,0.687523032789057,0.199399766060165,0.246536862212666,2.30451195358108,0.207410323960063,1.01015949146597,0.0395665209695481,0.24513472753672,0.272152306601733,0.248843357567746,0.539148475214883,0.527657675922239,0.274074222449747,0.316800900062048
C5AR2,0.0167635471289531,0.034234853758349,0.0136947597965358,0.00108189211951561,0.0697764860491223,0.00664862646278373,0.0653192248605886,0.0819824440992667,0.00574032627674964,0.00269279986743139,0.00523243005067196,0.0205802425526905,0.0156959515036789,0.00625707251108185,0.0123320666895444
C9orf16,0.144701079976765,0.101783249712768,0.224616673219261,0.128964713320067,0.178660186733701,0.145386384895863,0.106344276572839,0.075668099555684,0.120966663725309,0.112190788322915,0.137640449438202,0.0833095490403862,0.18415405508428,0.165317033353093,0.174983693561635
CALD1,0.130660986876682,0.239946262847178,1.37508296561475,1.8675471310916,0.733723302558164,0.471374778076857,0.246771764506647,0.0963956218617924,0.242188022258053,0.417129275874661,0.188147168979952,0.165099258212646,0.372648891411115,0.386947059325275,0.464155918932989
CALM1,0.0966494244470701,0.110844619901775,0.630778228455191,0.264407219152702,0.380678310274519,0.176761067521906,0.134153975492627,0.0468417440306325,0.136970321704276,0.0856617229622947,0.0353602115003305,0.0578956787943012,0.226153644173309,0.234680789303852,0.215254841740821
CALM2,0.418145032225432,0.294680599948455,0.790268786614148,0.884805337958985,0.922184384430666,0.449430635893324,0.367318765196144,0.165167070042987,0.233449516948903,0.312616419481448,0.226261291033267,0.140311786176852,0.569298003967765,0.538251301315984,0.574175779679475
