,B cell,Central venous LSEC,Cholangiocyte,Erythroid,Hepatocyte A,Hepatocyte B,Hepatocyte C,Hepatocyte D,Hepatocyte E,Inflammatory macrophage,NK-like cell,Non-inflammatory macrophage,Periportal LSEC,Portal endothelial cells,Stellate cell,T cell CD3 alpha beta,T cell gamma delta
NDUFS6,0.055011135857461,0.0603385731559855,0.105271966527197,0.050185414091471,0.242794759825327,0.214745363963465,0.132226023617702,0.1806,0.165522498383073,0.0454770318021201,0.145121951219512,0.037556270096463,0.0578681229773463,0.0853658536585366,0.0785423801369863,0.0275344036697248,0.0851069379238393
NDUFS7,0.0349665924276169,0.0288996372430472,0.0659414225941422,0.050185414091471,0.115803139383925,0.13960005535566,0.109160136850237,0.107742857142857,0.0810727155132588,0.0341696113074205,0,0.0555627009646302,0.0493729773462783,0.0284552845528455,0.0530714897260274,0.029598623853211,0.0412884715701617
NDUFS8,0.0884187082405345,0.0482466747279323,0.111966527196653,0.0711990111248455,0.150737637200519,0.160358427899253,0.132888202185189,0.179742857142857,0.134015522498383,0.0574911660777385,0,0.0369131832797428,0.0611043689320388,0.0284552845528455,0.0701947773972603,0.03625,0.0840636411058946
NDUFV1,0.0616926503340757,0.0361547762998791,0.0893723849372385,0.0328800988875155,0.0959754514339667,0.0973913645170219,0.0697605120847589,0.0951714285714286,0.0659198004250208,0.0256890459363958,0.0231707317073171,0.0201929260450161,0.0303600323624595,0.0121951219512195,0.0457940924657534,0.0149197247706422,0.0590245174752217
NDUFV2,0.0884187082405345,0.0845223700120919,0.154644351464435,0.0637824474660074,0.490758881151894,0.45789510102408,0.343129897362322,0.375171428571429,0.39004434999538,0.0560777385159011,0,0.0626366559485531,0.0530137540453074,0.00406504065040651,0.134193065068493,0.0633142201834862,0.0960615545122587
NDUFV3,0.010467706013363,0.00713422007255139,0.0257740585774059,0.00815822002472188,0.0839372123214918,0.0715125934126764,0.0572894823970864,0.0620285714285714,0.0538159475191721,0.00378091872791519,0.0231707317073171,0.00733118971061093,0.0137742718446602,0,0.0258882705479452,0.00368119266055046,0.0256390193009911
NEAT1,1.08173719376392,1.94546553808948,2.43330543933054,0.613844252163164,0.731523663401393,2.52349155826183,2.85212448957069,2.14345714285714,0.65863900951677,1.19530035335689,0.486585365853659,1.38996784565916,0.962803398058252,0.605691056910569,1.11193279109589,0.348176605504587,0.668831507563902
NECAP1,0.0438752783964365,0.013180169286578,0.0609205020920502,0.050185414091471,0.024808214327865,0.0468793246609466,0.0485707979251738,0.0471714285714286,0.0261895962302504,0.0680918727915194,0.0475609756097561,0.0208360128617363,0.0396642394822006,0.0284552845528455,0.0231057363013699,0.0231766055045872,0.0496348461137193
NECAP2,0.0282850779510022,0.0845223700120919,0.0190794979079498,0.0279357231149567,0,0,0,0,0,0.0200353356890459,0,0.0658520900321543,0.0182241100323625,0.0609756097560976,0.0224636130136986,0.00184633027522936,0.0266823161189358
NECTIN1,0.0216035634743875,0.00471584038694075,0.0341422594142259,0.0143386897404203,0.0137141508320548,0.0226612233600886,0.0259463635360335,0.0206,0.01796636792017,0.0292226148409894,0,0.0111897106109325,0.0222694174757282,0.0121951219512195,0.0209653253424658,0.0121674311926606,0.0188575899843505
